Sample_ID,Sampling date,Season,Site (Follow catchment column for actual catchment; site name is confusing),Sample_type,Lat,Lon,Group,Catchment,Inversion,Conductivity (uS),Temperature (degrees C),TDS_ppm,pH,Ca_ppm,Sr_ppb,K_ppm,Na_ppm,Si_ppm,Mg_ppm,Li_ppb,Re_ppb,Cr_ppb,Al_ppb,Ca_uM,Sr_nM,K_uM,Na_uM,Si_uM,Mg_uM,Li_nM,Re_nM,Cr_nM,Al_nM,Sr_ratio,Sr_ratio_unc,Ca_meq,Sr_meq,K_meq,Na_meq,Si_meq,Mg_meq,F_ppm,Cl_ppm,NO2_ppm,Br_ppm,NO3_ppm,SO4_ppm,PO4_ppm,F_uM,Cl_uM,NO2_uM,Br_uM,NO3_uM,SO4_uM,PO4_uM,F_meq,Cl_meq,NO2_meq,Br_meq,NO3_meq,SO4_meq,PO4_meq
PH-07-04,1/13/2007,dry,"Lawis River, ds",water,15.569,120.099,West,lawis_river,Y,,23.2,146,8.31,3.767332,,0.0781966,1.425365678,12.18889,18.690545,,,,,94,,2,62,434,769,,,,,,,0.188,,0.002,0.062,1.736,1.538,,1.06359,,,,2.20938,,,30,,,3,23,,,,,,,,
PH-07-05,1/13/2007,dry,Masinloc River,water,15.538,119.977,West,masinloc_river,Y,,29.9,236,7.65,11.101606,79.82182,0.2345898,2.620833666,17.24419,24.280695,,,,,277,911,6,114,614,999,,,,,0.70802,,0.554,,0.006,0.114,2.456,1.998,,1.382667,,,,4.22664,,,39,,,2,44,,,0.039,,,0.002,0.088,
PH-07-33,1/29/2007,dry,"Lawis River, ds",water,15.569,120.099,West,lawis_river,Y,,23.2,154,8.69,2.524914,12.00394,0.0781966,1.264437295,10.95315,20.246065,,,,,63,137,2,55,390,833,,,,,0.70383,,0.126,,0.002,0.055,1.56,1.666,,1.382667,,,,2.97786,,,39,,,4,31,,,,,,,,
PH-07-34,2/1/2007,dry,"Bulsa River, ds",water,15.452,120.37,East,bulsa_river_ds,Y,,27.5,237,8.6,20.039,52.572,0.390983,8.230337302,17.74972,14.87466,,,,,500,600,10,358,632,612,,,,,0.70433,,1,,0.01,0.358,2.528,1.224,,1.453573,,,,11.33508,,3,41,,,,118,,0.003,0.041,,,,0.236,
PH-07-35,2/2/2007,dry,"Camiling River, us",water,15.559,120.37,East,camiling_river_us,Y,,23,249,8.2,18.43588,37.06326,0.1954915,4.896820797,16.935255,20.46481,,,,,460,423,5,213,603,842,,,,,0.70394,,0.92,,0.005,0.213,2.412,1.684,,1.169949,,,,4.89906,,,33,,,,51,,,0.033,,,,0.102,
PH-07-36,2/2/2007,dry,Cabarabuan River (downstream of Malabobo Impounding Dam),water,15.708,120.329,East,malabobo_river,Y,,24.6,253,8.3,21.882588,40.91854,0.2736881,4.666923107,15.50292,19.24956,,,,,546,467,7,203,552,792,,,,,0.70381,,1.092,,0.007,0.203,2.208,1.584,,1.41812,,,,5.47542,,4,40,,,,57,,0.004,0.04,,,,0.114,
PH-07-37,2/2/2007,dry,Dumoloc River,water,15.916,120.199,East,dumoloc_river,Y,,29.9,332,7.8,27.974444,41.09378,0.1954915,6.758992086,24.855225,24.305,,,,,698,469,5,294,885,1000,,,,,0.70433,,1.396,,0.005,0.294,3.54,2,,1.77265,,,,7.01238,,,50,,,10,73,,,0.05,,,0.01,0.146,
PH-07-39,3/5/2007,dry,Mababo River,water,15.704,120.3,East,malabobo_river,Y,,,267,8.4,23.605942,40.65568,0.1563932,4.735892414,16.991425,20.343285,,,,,589,464,4,206,605,837,,,,,0.70383,,1.178,,0.004,0.206,2.42,1.674,,1.028137,,,,4.13058,,,29,,,2,43,,,0.029,,,0.002,0.086,
PH-07-40,3/5/2007,dry,Mababo River,water,15.704,120.3,East,malabobo_river,Y,,,267,8.56,23.285318,40.48044,0.1172949,4.391045879,17.24419,20.46481,,,,,581,462,3,191,614,842,,,,,0.70377,,1.162,,0.003,0.191,2.456,1.684,,0.815419,,,,4.13058,,,23,,,,43,,,0.023,,,,0.086,
PH-08-03,1/24/2008,dry,Bancal River,water,15.31,119.999,West,bancal_river,N,,30.6,7390,7.87,98.471646,1734.17504,128.0860308,2257.572326,15.587175,341.77691,,,,,2457,19792,3276,98199,555,14062,,,,,0.70904,,4.914,,3.276,98.199,2.22,28.124,,4848.268656,,,,684.52356,,11,136752,,215,,7126,,0.011,136.752,,0.215,,14.252,
